2025-05-12至2025-05-12高速石化零售销量报告(吨),2025-05-12至2025-05-12高速石化零售销量报告(吨),2025-05-12至2025-05-12高速石化零售销量报告(吨),2025-05-12至2025-05-12高速石化零售销量报告(吨),2025-05-12至2025-05-12高速石化零售销量报告(吨),2025-05-12至2025-05-12高速石化零售销量报告(吨),2025-05-12至2025-05-12高速石化零售销量报告(吨),2025-05-12至2025-05-12高速石化零售销量报告(吨),2025-05-12至2025-05-12高速石化零售销量报告(吨),2025-05-12至2025-05-12高速石化零售销量报告(吨),,
站名,92#汽油(Ⅴ）,95#汽油（Ⅴ）,98#汽油（Ⅴ）,爱跑98#汽油,0#车柴（Ⅴ）,0#自助（Ⅴ）,汽油小计,合计(吨),销售额（元）,IC(元),合计(元)
,,,,,,,,,现金,IC卡,合计
盘古山（东）站,1.29623,1.2467,0,0,2.74767,0,2.54293,5.2906,32388.68,14232.14,46620.82
盘古山（西）站,1.44261,0.9125,0,0,5.60709,0,2.35511,7.9622,28187.99,37994.52,66182.51
三百山（东）站,0.64113,0.26075,0,0,0.36854,0,0.90188,1.27042,10337,1525.77,11862.77
三百山（西）站,0.57612,0.27841,0,0,0.29124,0,0.85453,1.14577,9343.52,1645.22,10988.74
石城（北）站,0.83158,0.36382,0,0,0.86599,0,1.1954,2.06139,15113.13,3576.67,18689.8
石城（南）站,0.89978,0.54751,0,0,0.66825,0,1.44729,2.11554,13998,5548.82,19546.82
兴国（北）站,1.96231,0.85044,0,0,1.10394,0,2.81275,3.91669,33938.5,2648.67,36587.17
兴国（南）站,2.60913,1.80096,0,0,0.99263,0,4.41009,5.40272,46429.64,5682.76,52112.4
于都（北）站,3.74257,2.21426,0,0,1.14149,0,5.95683,7.09832,58601.68,9401.75,68003.43
于都（南）站,4.8903,3.25246,0,0,1.67456,0,8.14276,9.81732,80903.59,13419.03,94322.62
于都北（东）站,0.98559,0.67205,0,0,0.41586,0,1.65764,2.0735,15937.61,4290.14,20227.75
于都北（西）站,0.70874,0.44517,0,0,0.48483,0,1.15391,1.63874,13043.21,2599.74,15642.95
赣南片区合计,50.38295,32.77058,0,0,72.18177,56.46801,83.15353,211.80331,1018968.91,793428.74,1812397.65
德兴（北）站,4.55912,3.83359,0,0,1.14268,0,8.39271,9.53539,82894.56,10230.88,93125.44
德兴（南）站,7.38848,4.8479,0,0,1.55093,0,12.23638,13.78731,122140.97,11937.02,134077.99
德兴东（北）站,3.03407,1.90028,0,0,1.63387,0,4.93435,6.56822,53161.62,8998.02,62159.64
德兴东（南）站,5.90115,3.00448,0,0,1.38661,0,8.90563,10.29224,90341.65,9271.18,99612.83
浮梁（北）站,2.77704,1.82874,0,0,1.83271,0,4.60578,6.43849,50963.64,9710.73,60674.37
浮梁（南）站,3.31508,2.47803,0,0,1.26906,0,5.79311,7.06217,60523.13,7520.68,68043.81
景德镇（东）站,2.57753,1.92663,0,0,8.9608,4.84133,4.50416,18.30629,61816.78,95708.74,157525.52
景德镇（西）站,3.45991,2.61198,0,0,8.33582,6.57972,6.07189,20.98743,80697.36,99922.45,180619.81
万年（东）站,0.83141,0.99277,0,0,0.33996,0,1.82418,2.16414,14673.35,6126.47,20799.82
万年（西）站,0.74103,0.83668,0,0,0.0248,0,1.57771,1.60251,15004.27,965.2,15969.47
万年北（北）站,5.84189,3.96236,0,0,1.77238,0,9.80425,11.57663,97191.11,14848.55,112039.66
万年北（南）站,7.11739,4.69634,0,0,2.19581,0,11.81373,14.00954,119728.04,15388.17,135116.21
万年西（东）站,3.43383,2.41627,0,0,1.34469,0,5.8501,7.19479,63327.11,6309.98,69637.09
万年西（西）站,4.51149,3.90479,0,0,2.22219,0,8.41628,10.63847,83067.63,19800.11,102867.74
婺源（北）站,2.2195,1.57979,0,0,1.12939,0,3.79929,4.92868,42171.25,5143.01,47314.26
婺源（南）站,4.13014,2.56361,0,0,1.16048,0,6.69375,7.85423,69548.95,6990.82,76539.77
婺源北（北）站,2.96628,2.79981,0,0,0.7061,0,5.76609,6.47219,56839.63,6637.23,63476.86
婺源北（南）站,3.34207,2.70465,0,0,1.07344,0,6.04672,7.12016,58295.46,10637.27,68932.73
赣东北片区合计,68.14741,48.8887,0,0,38.08172,11.42105,117.03611,166.53888,1222386.51,346146.51,1568533.02
井冈山东（北）站,1.06481,0.48184,0,0,0.43042,0,1.54665,1.97707,17482.74,1102.53,18585.27
上固（北）站,1.07729,0.74429,0,0,0.8117,0,1.82158,2.63328,22397.88,2263.26,24661.14
上固（南）站,1.46813,0.70081,0,0,0.54215,0,2.16894,2.71109,24335.06,1415.27,25750.33
泰和（北）站,0.76353,0.67031,0,0,0.05468,0,1.43384,1.48852,11590.68,3034.16,14624.84
泰和（南）站,0.66567,0.64196,0,0,0.42968,0,1.30763,1.73731,11931.21,4476.63,16407.84
泰和北（北）站,1.17014,0.72919,0,0,0.64393,0,1.89933,2.54326,20418.89,3544.86,23963.75
泰和北（南）站,1.55627,0.4437,0,0,1.22621,0,1.99997,3.22618,20335.87,9063.35,29399.22
泰和东（北）站,1.7857,0.79298,0,0,0.93044,0,2.57868,3.50912,27792.81,5005.41,32798.22
泰和东（南）站,1.83233,0.98589,0,0,0.73888,0,2.81822,3.5571,29703.01,4542.15,34245.16
银湾桥（东）站,1.85951,1.64989,0,0,0.72334,0,3.5094,4.23274,35624.25,5210.85,40835.1
银湾桥（西）站,3.24365,2.21791,0,0,0.92784,0,5.46156,6.3894,56744.6,5239.7,61984.3
永丰南（东）站,1.72899,1.59103,0,0,0.83586,0,3.32002,4.15588,35921.29,4106.01,40027.3
永丰南（西）站,2.69569,1.6483,0,0,1.02495,0,4.34399,5.36894,40661.36,10656.79,51318.15
永新（北）站,5.02048,2.91639,0,0,4.26956,0,7.93687,12.20643,91045.52,19404.67,110450.19
永新（南）站,3.40305,1.70552,0,0,5.09486,0,5.10857,10.20343,63646.01,24804.96,88450.97
永新东（东）站,0.08483,0.37011,0,0,0.04943,0,0.45494,0.50437,4518.18,460,4978.18
永新东（西）站,0.33817,0.43759,0,0,0.07377,0,0.77576,0.84953,7526,752.88,8278.88
赣西南片区合计,29.75824,18.72771,0,0,18.8077,0,48.48595,67.29365,521675.36,105083.48,626758.84
井冈山（北）站,0.28328,0.0905,0,0,0,0,0.37378,0.37378,3615,0,3615
井冈山（南）站,0.25741,0.03893,0,0,0.13118,0,0.29634,0.42752,3052,861.43,3913.43
遂川（东）站,2.26789,1.56072,0,0,3.13878,0,3.82861,6.96739,42093.84,19262.59,61356.43
化石能源合计,2.80858,1.69015,0,0,3.26996,0,4.49873,7.76869,48760.84,20124.02,68884.86
合计,411.112,280.93306,0,0,327.64614,256.46665,692.04506,1276.15785,7793183.39,3633609.5,11426792.89
